Notícia,Veredito
"""Minha mulher tomou hidroxicloroquina e, na manhã seguinte, acordou como se não tivesse nada"", contou Marcos Stávale, um dos maiores neurocirurgiões do Brasil  https://twitter.com/revistaoeste/status/1249747970783956994 ",Verdadeiro
"Um dos efeitos colaterais da cloroquina, remédio baratíssimo, é prevenir a corrupção.",Verdadeiro
Irmão do meu sogro deu entrada na UTI ontem infartado sem NENHUM sintoma de COVID19. A 1ª droga q lhe deram foi cloroquina. Últimos estudos mostraram q cloroquina causA arritmia nos testados e é falha contra COVID. Faleceu agora. Vítima de fakenews e ignorância? Um dia saberemos!,Verdadeiro
"Bom dia.Minha mãe saiu do respirador,já foi trocado a alimentação de pastosa pra mais sólida e sem febre.Continua a a hidroxicloroquina q está  sim, fazendo efeito.Obrigado ao meu Deus por usar @jairbolsonaro   como  Seu  http://instrumento.Um  abraço em todos.",Verdadeiro
"E agora, Bolsonaro? 

Estudo brasileiro sobre cloroquina é interrompido após mortes de pacientes. 

Sem evidência científica e na dose errada, o remédio de Bolsonaro virou veneno. 

A necropolítica sempre apresenta a morte como solução!",Verdadeiro
"Médico arritmologista garante: o perfil farmacológico da hidroxicloroquina é muito seguro e o seu uso atualmente é feito em milhões de pessoas, com raras complicações importantes.
 https://brasilsemmedo.com/alteracoes-cardiacas-secundarias-ao-uso-de-cloroquina/ ",Verdadeiro
"Se os cidadãos quiserem cultivar cloroquina em isolamento domiciliar, para consumo próprio, talvez, especialistas, jornalistas e democratas de retroescavadeira saiam em sua defesa.  pic.twitter.com/dKN8mGr2Mw",Verdadeiro
"Gina Dal Coletto passou 12 dias internada. Além da idade avançada, ela tem dois stents no coração e durante a internação teve inflamação cardíaca e pulmonar. Ela é a paciente mais velha do Brasil a ser curada de Covid-19.

#CoronavirusnoBrasil
#Cloroquina  pic.twitter.com/NQ7eXopC3c",Verdadeiro
"ESTADÃO: CLOROQUINA NÃO, MAS MACONHA SIM  https://www.pscp.tv/w/cWMM7DFlZGpuYXJOWGVnS298MU1uR25RZWtxVmpLT-S4ybUdchfAdAUz5odJO2XfUORh64Tdk-nmXszLG4NQ ",Verdadeiro
"Um estudo preliminar com cloroquina contra Coronavírus aqui no país foi interrompido depois de mortes de pacientes. A informação veio do site medRxiv. 

Altas doses da substância provocam arritmia. 

11 pessoas morreram.",Verdadeiro
"Estudo em Manaus, interrompido pq a cloroquina estava fazendo mal aos pacientes, sai no principal jornal do mundo  https://www.nytimes.com/2020/04/12/health/chloroquine-coronavirus-trump.html ",Verdadeiro
Já saiu o Cloroquina Black Label 12 anos!  pic.twitter.com/F3vG6Nskvh,Verdadeiro
"Cloroquina está sendo vista como salvadora, mas não é', diz médica do Incor

 https://www1.folha.uol.com.br/equilibrioesaude/2020/04/cloroquina-esta-sendo-vista-como-salvadora-mas-nao-e-diz-medica-do-incor.shtml?utm_source=twitter&utm_medium=social&utm_campaign=twfolha ",Verdadeiro
"Os pesquisadores descobriram que uma dose alta de cloroquina pode levar a quadros severos de arritmia ou batimentos cardíacos irregulares.
 https://www.cnnbrasil.com.br/saude/2020/04/13/estudo-brasileiro-sobre-cloroquina-e-interrompido-apos-morte-de-pacientes ",Verdadeiro
Hidroxicloroquina chega aos EUA depois que a Índia suspendeu proibição de exportação -  https://www.tercalivre.com.br/?p=128595 ,Verdadeiro
"Secretário de Saúde do Ceará curado do covid-19 após uso da cloroquina. Aos que torcem pelo vírus e para o caos, mais uma vida salva!",Falso
Todo mundo sabe q a hidroxicloroquina ajudou a recuperar numerosos infectados pelo coronavirus. Alguém aí sabe de algum infectado que tenha morrido em consequência de efeitos colaterais do uso do medicamento?,Falso
"Diabética de 97 anos com apenas um rim, histórico de câncer e doenças cardíacas é curada com hidroxicloroquina e azitromicina  http://dlvr.it/RTmdJB ",Falso
"A dose recomendada de Bolsopill e de 200g a 400g dependendo do paciente. 2 médicos brasileiros aplicaram de 900g a 1200g da HCQ por 4 dias, levaram seus pacientes ao óbito pela super dosagem e agora dizem que o remédio é perigoso. O que esses médicos fizeram foi CRIMINOSO!",Falso
E a hidroxicloroquina continua salvando vidas! ??  https://twitter.com/CarlosBolsonaro/status/1250203865821188097 ,Falso
"Hospital do Amazonas relata que desde q começaram o tratamento com a Bolsopill o tempo de internação é de no máximo 5 dias. 0 entubação.
Tá vendo, se usar direitinho sem superdosagem que mata o paciente, dá certo Verba Cagalhaes e Peppa pig.  pic.twitter.com/P8quNbsu0T",Falso
"Marcos Pontes anuncia remédio em fase de teste que tem o mesmo efeito da Cloroquina porém com menos efeitos colaterais e diminui a carga viral em 94%. Já estão testando! 
Aí a gente p aquela máxima né:
- Oi Deus, sou eu de novo... ????
#FicaEmCasaMandetta",Falso
"Amostra do que é a ditadura científica que comanda o país. Pesquisadores da Fiocruz em Manaus deram para pacientes doses de hidroxicloroquina 3x maiores do que a indicada para tratamento de covid-19. Onze pessoas morreram antes que suspendessem os testes.

 https://www.estudosnacionais.com/23127/cobaias-humanas-medicos-matam-11-pessoas-para-desacreditar-cloroquina/ ",Falso
"??URGENTE: Médico petista tentou sabotar a Cloroquina. Ele deu 5x a dose segura do medicamento para pacientes. 
 https://gazetabrasil.com.br/brasil/medico-responsavel-por-superdosagem-de-cloroquina-que-matou-pacientes-e-petista/ ",Falso
"A agência ""Aos Fatos"" classifica como desinformação as publicações favoráveis à hidroxicloroquina e ao isolamento seletivo, mas, para mim, a experiência de médicos renomados do mundo todo e as publicações científicas valem mais do que a opinião das agências de Fact-Checking.",Falso
"É verdade que o Médico infectologista, Marcus Vinícius Guimarães de Lacerda, responsável por superdosagem de cloroquina que matou 11 pacientes em Manaus é petista?

Monstro!",Falso
"Estudo clínico realizado em Manaus pra desqualificar a cloroquina causou 11 MORTES após pacientes receberem doses muito fora do padrão.

Este absurdo deve ser investigado imediatamente.

Os responsáveis são do PT. Mas isso é pura coincidência, claro...

 https://conexaopolitica.com.br/ultimas/a-militancia-medica-esquerdista-por-tras-da-pesquisa-com-alta-dosagem-de-cloroquina-em-manaus/?idPost=54030 ",Falso
A militância médica esquerdista por trás da pesquisa com alta dosagem de cloroquina em Manaus  http://dlvr.it/RTxKmw ,Falso
